company,industry,title,street,city,state,postal,latitude,longitude,description,salary
Oyoloo,Legal,Chemical Engineer,6449 Sunnyside Point,Tampa,FL,33694,27.872,-82.4388,Vision-oriented asynchronous data-warehouse,$121380.18
Mydeo,Business Development,Business Systems Development Analyst,5 Sachtjen Way,Great Neck,NY,11024,40.8171,-73.7416,Diverse user-facing algorithm,$84065.81
Meeveo,Product Management,Information Systems Manager,93 Ridge Oak Circle,Ashburn,VA,22093,39.0853,-77.6452,Compatible executive structure,$187984.28
Quamba,Training,Occupational Therapist,95297 Sycamore Parkway,San Jose,CA,95123,37.2458,-121.8306,Total heuristic support,$108811.30
Rhynoodle,Human Resources,Professor,000 Red Cloud Center,Shawnee Mission,KS,66286,38.8999,-94.832,Decentralized next generation algorithm,$60415.82
Abata,Sales,Speech Pathologist,083 Main Junction,Columbia,SC,29208,33.9937,-81.0199,Grass-roots national structure,$49972.19
Yadel,Business Development,Help Desk Operator,01997 Jenna Road,Savannah,GA,31410,32.0175,-80.997,Progressive non-volatile solution,$95652.22
Kare,Product Management,Cost Accountant,667 Southridge Point,Baltimore,MD,21275,39.2847,-76.6205,Integrated eco-centric service-desk,$139593.06
Realcube,Services,Analyst Programmer,4271 School Place,Peoria,IL,61614,40.7681,-89.6026,Function-based attitude-oriented time-frame,$178661.27
Bluejam,Support,Quality Engineer,60 Manitowish Court,Washington,DC,20099,38.8933,-77.0146,Synchronised regional frame,$173519.06
Topdrive,Support,Assistant Professor,243 Amoth Trail,Saint Louis,MO,63126,38.5495,-90.3811,Devolved well-modulated contingency,$114950.08
Eayo,Marketing,Environmental Tech,766 Paget Park,Tucson,AZ,85710,32.2138,-110.824,Profit-focused fault-tolerant open architecture,$58899.54
Demivee,Sales,Chief Design Engineer,8 Brickson Park Junction,Buffalo,NY,14210,42.8614,-78.8206,Synergistic responsive interface,$132932.77
Yamia,Support,Office Assistant IV,344 Riverside Place,Terre Haute,IN,47812,39.4336,-87.4101,Phased full-range encoding,$102011.55
Chatterpoint,Human Resources,Product Engineer,93805 Old Gate Circle,New York City,NY,10019,40.7651,-73.9858,Business-focused intermediate leverage,$74183.83
Flipbug,Training,Financial Analyst,9379 Dawn Road,Denver,CO,80262,39.731,-104.9384,Cross-group even-keeled customer loyalty,$154355.40
Wordify,Product Management,Librarian,07 Fairview Park,Memphis,TN,38104,35.1334,-90.0046,Assimilated leading edge emulation,$93830.90
Skalith,Training,Operator,525 Rieder Crossing,Pueblo,CO,81010,38.1286,-104.5523,Switchable motivating superstructure,$52725.52
Riffpedia,Marketing,Quality Control Specialist,68 Sugar Way,Athens,GA,30605,33.9321,-83.3525,Virtual multimedia software,$70685.69
Skivee,Business Development,GIS Technical Architect,628 Ruskin Plaza,Whittier,CA,90610,33.7866,-118.2987,Cross-platform uniform help-desk,$144383.81
Wikivu,Engineering,VP Sales,925 Fair Oaks Court,Tacoma,WA,98442,47.3081,-122.4185,Programmable full-range capacity,$93627.38
Kanoodle,Product Management,VP Marketing,82085 Messerschmidt Circle,Pasadena,CA,91103,34.1669,-118.1551,Mandatory stable standardization,$120643.89
Meezzy,Business Development,Web Developer III,0993 Saint Paul Plaza,Ann Arbor,MI,48107,42.2535,-83.8366,Profound neutral definition,$166402.23
Tagfeed,Accounting,Pharmacist,91532 Del Mar Parkway,Jacksonville,FL,32209,30.3584,-81.692,Ameliorated systemic Graphical User Interface,$132551.65
Edgepulse,Legal,Help Desk Technician,709 Bobwhite Alley,Van Nuys,CA,91411,34.1781,-118.4574,Organic zero administration encoding,$71032.27
Avavee,Accounting,Marketing Assistant,8 Hagan Pass,Santa Fe,NM,87592,35.5212,-105.9818,Profound bifurcated definition,$52849.79
Blognation,Training,Database Administrator IV,30919 Superior Parkway,Washington,DC,20078,38.8933,-77.0146,Diverse encompassing methodology,$45355.40
Kamba,Legal,Senior Quality Engineer,9022 Moulton Lane,El Paso,TX,88574,31.6948,-106.3,Down-sized non-volatile utilisation,$66446.02
Zoovu,Legal,Paralegal,2923 Acker Court,Detroit,MI,48232,42.2399,-83.1508,Fully-configurable intangible knowledge user,$166194.28
Oozz,Engineering,Chemical Engineer,524 Lukken Circle,San Antonio,TX,78260,29.7026,-98.4759,Multi-channelled 24/7 local area network,$134922.12
Oyoba,Engineering,Analyst Programmer,886 Caliangt Park,Cleveland,OH,44191,41.6857,-81.6728,Open-source zero tolerance internet solution,$68055.66
Meejo,Research and Development,Analog Circuit Design manager,2 Stephen Street,Decatur,GA,30033,33.8123,-84.2819,Implemented 3rd generation function,$83756.27
Agivu,Services,Clinical Specialist,05 Ryan Park,Las Vegas,NV,89125,36.2235,-115.2655,De-engineered responsive artificial intelligence,$170500.66
Kwideo,Accounting,Help Desk Operator,14 Scoville Terrace,Tulsa,OK,74149,36.1398,-96.0297,Visionary global open architecture,$107024.40
Miboo,Accounting,Recruiter,7 Oakridge Lane,Aurora,CO,80045,39.7467,-104.8384,Inverse value-added projection,$146281.76
Digitube,Training,Senior Editor,736 Messerschmidt Junction,El Paso,TX,79994,31.6948,-106.3,Focused intermediate moratorium,$94004.46
Oodoo,Product Management,Business Systems Development Analyst,1294 Manitowish Point,Charleston,WV,25356,38.2968,-81.5547,Assimilated 24 hour policy,$93164.29
Quamba,Services,Pharmacist,7 Derek Junction,Charlotte,NC,28247,35.0656,-80.8511,Open-source explicit toolset,$125116.30
Fadeo,Product Management,Community Outreach Specialist,4422 Moose Circle,Oklahoma City,OK,73135,35.411,-97.4388,Inverse regional encoding,$96907.18
Aivee,Engineering,Assistant Media Planner,93814 Nobel Court,South Lake Tahoe,CA,96154,38.8753,-120.0188,Sharable content-based leverage,$62834.47
Rhybox,Sales,Geologist IV,66 Northwestern Road,Helena,MT,59623,46.5901,-112.0402,Stand-alone empowering strategy,$182237.87
Voomm,Engineering,Pharmacist,003 Summerview Trail,Modesto,CA,95397,37.6566,-121.0191,Up-sized composite pricing structure,$194726.01
Wikivu,Business Development,Graphic Designer,44941 Pearson Junction,Cleveland,OH,44177,41.6857,-81.6728,Diverse well-modulated access,$42208.51
Blogtags,Sales,Registered Nurse,925 Acker Pass,Lawrenceville,GA,30245,33.9464,-83.9912,Up-sized impactful paradigm,$94605.61
Eimbee,Training,Technical Writer,24 Spohn Hill,Atlanta,GA,30386,33.8444,-84.474,Virtual maximized access,$102728.40
Twimbo,Engineering,VP Sales,681 Tomscot Park,Orlando,FL,32825,28.5469,-81.2571,Monitored high-level challenge,$148462.06
Youspan,Support,Registered Nurse,697 Village Green Pass,El Paso,TX,79968,31.7705,-106.5048,Ergonomic optimizing neural-net,$158771.89
Zoomlounge,Engineering,Financial Analyst,28471 Del Mar Court,Shreveport,LA,71166,32.6076,-93.7526,Secured even-keeled strategy,$136714.58
Avamm,Human Resources,Safety Technician III,3 Bluestem Avenue,Columbus,MS,39705,33.5508,-88.4865,Centralized systematic utilisation,$175764.45
Roodel,Product Management,Staff Accountant III,24 Autumn Leaf Road,Loretto,MN,55598,45.0159,-93.4719,Profound global analyzer,$193034.53
Riffwire,Product Management,Help Desk Technician,056 Grayhawk Terrace,Littleton,CO,80126,39.5437,-104.9691,User-friendly systemic interface,$123059.81
Flipopia,Services,Budget/Accounting Analyst III,0 Village Avenue,Myrtle Beach,SC,29579,33.7377,-78.9787,Reactive reciprocal secured line,$182520.56
Yodel,Support,Quality Control Specialist,2245 Everett Circle,Whittier,CA,90610,33.7866,-118.2987,Managed uniform focus group,$137718.73
Oba,Support,Statistician III,62354 Spenser Road,San Antonio,TX,78285,29.4375,-98.4616,Vision-oriented mission-critical workforce,$84873.39
Devify,Research and Development,Nurse,7810 Delaware Pass,Great Neck,NY,11024,40.8171,-73.7416,Operative multimedia customer loyalty,$117405.03
Meembee,Research and Development,Analyst Programmer,6569 Dahle Center,Chicago,IL,60657,41.9399,-87.6528,Reverse-engineered non-volatile strategy,$101137.69
Topicshots,Marketing,Analog Circuit Design manager,485 Prentice Court,Springfield,IL,62794,39.7495,-89.606,Compatible client-driven secured line,$124943.39
Zazio,Legal,Operator,11986 Ohio Place,Knoxville,TN,37995,35.9901,-83.9622,Open-architected background access,$139039.24
Shufflebeat,Research and Development,Associate Professor,05 Bayside Drive,Kingsport,TN,37665,36.5799,-82.5733,Devolved motivating superstructure,$84603.49
Jabbercube,Product Management,Database Administrator II,864 Melody Junction,Boca Raton,FL,33487,26.4116,-80.0928,Visionary needs-based interface,$180922.48
Zooveo,Legal,Desktop Support Technician,5546 Briar Crest Hill,Littleton,CO,80161,39.7388,-104.4083,Fundamental high-level leverage,$88269.45
Vitz,Sales,Research Associate,2893 Lillian Court,San Francisco,CA,94164,37.7848,-122.7278,Enhanced cohesive budgetary management,$175912.07
Babblestorm,Training,Associate Professor,70 Waubesa Crossing,Boise,ID,83711,43.4599,-116.244,Customizable systematic matrix,$109185.00
Flashset,Business Development,Registered Nurse,2500 Fair Oaks Parkway,Woburn,MA,01813,42.4464,-71.4594,Implemented didactic initiative,$88125.57
Blogspan,Sales,Director of Sales,557 Cherokee Point,Fresno,CA,93704,36.7991,-119.8016,Distributed modular forecast,$92171.46
Youopia,Sales,Systems Administrator II,42 Bartelt Junction,Pittsburgh,PA,15240,40.4344,-80.0248,Balanced leading edge frame,$43423.92
Jabbersphere,Services,Software Test Engineer II,7968 Grasskamp Junction,Madison,WI,53705,43.073,-89.4528,Progressive reciprocal website,$79652.50
Linklinks,Research and Development,Senior Developer,10421 Iowa Court,Los Angeles,CA,90045,33.9631,-118.3941,Expanded hybrid access,$195497.82
Livepath,Marketing,Geologist I,77 Hooker Trail,Newark,NJ,07195,40.7918,-74.2452,Implemented methodical portal,$199710.85
Tagchat,Support,VP Product Management,4302 Leroy Lane,Cincinnati,OH,45264,39.1668,-84.5382,Decentralized coherent encoding,$167434.72
Buzzster,Human Resources,General Manager,0 Hanover Point,Tucson,AZ,85737,32.4142,-110.9466,Total secondary throughput,$140700.28
Rhyloo,Accounting,Community Outreach Specialist,3 New Castle Court,New York City,NY,10280,40.7105,-74.0163,Re-contextualized eco-centric groupware,$69264.67
Camimbo,Marketing,Systems Administrator I,7394 Manufacturers Trail,Suffolk,VA,23436,36.8926,-76.5142,Vision-oriented optimizing concept,$177108.16
Linktype,Training,Staff Scientist,54939 Hintze Hill,Hot Springs National Park,AR,71914,34.5137,-92.9685,Stand-alone real-time info-mediaries,$49852.93
Jazzy,Sales,Paralegal,6 Sheridan Parkway,New Orleans,LA,70183,29.6779,-90.0901,Centralized eco-centric orchestration,$99066.77
Photobug,Engineering,Clinical Specialist,3 Thompson Trail,Alpharetta,GA,30022,34.0268,-84.2422,Profound maximized website,$175653.16
Eadel,Legal,Database Administrator III,96 Cordelia Drive,Erie,PA,16522,42.1827,-80.0649,Decentralized mobile infrastructure,$161530.01
Youspan,Engineering,Librarian,57954 Fairview Trail,Miami,FL,33147,25.8507,-80.2366,Integrated mission-critical protocol,$74035.45
Gabvine,Human Resources,Director of Sales,5293 Autumn Leaf Crossing,Myrtle Beach,SC,29579,33.7377,-78.9787,Extended client-driven budgetary management,$152095.10
Gabtype,Product Management,Junior Executive,75582 Oak Street,Austin,TX,78703,30.2907,-97.7648,Public-key interactive orchestration,$60120.67
Realpoint,Human Resources,Nurse,35428 Continental Court,Decatur,GA,30089,33.7749,-84.3046,Synergized value-added parallelism,$179881.69
Zazio,Services,Teacher,7522 Swallow Street,El Paso,TX,79923,31.6948,-106.3,Innovative context-sensitive superstructure,$183324.85
Rhynyx,Sales,Quality Engineer,48 7th Circle,Austin,TX,78764,30.4455,-97.6595,Optional fresh-thinking help-desk,$151516.85
Edgeclub,Marketing,Automation Specialist I,92829 Northfield Park,Kansas City,MO,64142,39.035,-94.3567,Down-sized client-server service-desk,$108720.00
Yombu,Human Resources,Occupational Therapist,44515 Lukken Road,Great Neck,NY,11024,40.8171,-73.7416,Reduced radical throughput,$62084.85
Lajo,Product Management,Senior Quality Engineer,1015 Rowland Avenue,Houston,TX,77212,29.834,-95.4342,Horizontal disintermediate definition,$114875.45
Edgetag,Business Development,VP Marketing,6 Northwestern Crossing,Boston,MA,02208,42.3389,-70.9196,Assimilated stable initiative,$139721.95
Riffwire,Product Management,Recruiter,63 Saint Paul Court,Arlington,TX,76004,32.7714,-97.2915,Customizable tertiary archive,$50359.35
Twimbo,Business Development,Account Executive,0 Vera Crossing,Austin,TX,78764,30.4455,-97.6595,Adaptive grid-enabled encryption,$186276.94
Jetpulse,Sales,Structural Analysis Engineer,3988 Hanson Way,Memphis,TN,38197,35.2017,-89.9715,Synergistic mission-critical structure,$170897.74
Zazio,Training,Assistant Media Planner,715 Loftsgordon Circle,Evansville,IN,47719,37.9971,-87.575,Seamless encompassing alliance,$131070.31
Twinder,Support,Environmental Specialist,89199 Meadow Ridge Pass,Tacoma,WA,98447,47.1441,-122.4434,Triple-buffered 24/7 forecast,$153643.84
DabZ,Accounting,Marketing Manager,7 Havey Crossing,Bradenton,FL,34210,27.4544,-82.6358,Multi-lateral uniform open system,$70762.57
Twinder,Product Management,Librarian,332 Fuller Court,Pensacola,FL,32595,30.6143,-87.2758,Profit-focused discrete encoding,$61713.24
Skippad,Support,Structural Analysis Engineer,53754 Evergreen Crossing,Houston,TX,77075,29.6223,-95.26,Expanded 24 hour intranet,$166319.05
Thoughtstorm,Support,Professor,092 Hoepker Crossing,Akron,OH,44321,41.1002,-81.6443,Fundamental local benchmark,$194857.08
Meejo,Product Management,Librarian,243 Tomscot Park,Columbus,GA,31904,32.5161,-84.9785,Distributed regional access,$123991.04
Eabox,Training,Senior Financial Analyst,58 Eastwood Place,Toledo,OH,43656,41.6782,-83.4972,Networked non-volatile info-mediaries,$116616.84
Yabox,Marketing,Engineer I,4 Jenna Hill,Orlando,FL,32854,28.5663,-81.2608,Enterprise-wide cohesive Graphical User Interface,$56264.48
Topicware,Human Resources,Geologist II,56 Warner Road,El Paso,TX,79940,31.6948,-106.3,Ergonomic logistical framework,$45612.02
Gabvine,Services,Staff Accountant IV,690 Novick Court,Houston,TX,77228,29.834,-95.4342,Visionary multimedia software,$135844.51
Twitterworks,Research and Development,Analog Circuit Design manager,924 South Center,Beaverton,OR,97075,45.5486,-123.1147,Robust multi-state concept,$198586.59
Cogidoo,Services,General Manager,7613 Park Meadow Lane,Savannah,GA,31416,32.0053,-81.0477,User-centric background groupware,$138310.02
Twinder,Services,Physical Therapy Assistant,7749 Algoma Court,Reno,NV,89510,39.7699,-119.6027,Expanded systemic concept,$48642.44
Plambee,Human Resources,Web Designer IV,365 Sherman Road,Lansing,MI,48901,42.5992,-84.372,Reactive user-facing application,$44724.89
Riffwire,Training,Internal Auditor,97673 Stephen Road,Saint Louis,MO,63104,38.6128,-90.2185,Fundamental 5th generation attitude,$181881.12
Mybuzz,Legal,Compensation Analyst,1 3rd Junction,Amarillo,TX,79182,35.4015,-101.8951,Streamlined non-volatile process improvement,$170818.11
Latz,Engineering,Systems Administrator I,268 Chinook Court,Lubbock,TX,79452,33.61,-101.8213,Pre-emptive secondary challenge,$197889.77
Blogtag,Services,Executive Secretary,3540 Spaight Trail,Washington,DC,20370,38.8933,-77.0146,Integrated 24/7 process improvement,$43838.46
Photobug,Sales,Geological Engineer,2943 Barby Plaza,Shreveport,LA,71151,32.6076,-93.7526,Cross-platform bi-directional budgetary management,$103136.41
Twinte,Business Development,Recruiting Manager,22896 Elmside Terrace,Largo,FL,33777,27.8546,-82.7545,Focused hybrid local area network,$198415.94
Skimia,Sales,Account Representative IV,86 Ramsey Pass,Memphis,TN,38143,35.2017,-89.9715,Face to face client-server intranet,$196547.03
Rhyzio,Services,Quality Control Specialist,3753 Brickson Park Avenue,Lynchburg,VA,24515,37.4009,-79.1785,Stand-alone encompassing alliance,$113902.56
Flashset,Engineering,Accounting Assistant IV,514 Mesta Alley,Colorado Springs,CO,80945,38.8247,-104.562,Focused client-driven process improvement,$156048.31
Edgeify,Accounting,Technical Writer,94962 Forest Trail,Los Angeles,CA,90020,34.0665,-118.3022,Triple-buffered incremental paradigm,$46761.44
Kwinu,Human Resources,VP Quality Control,71429 Oakridge Point,Spokane,WA,99252,47.6536,-117.4317,Reduced responsive hardware,$115327.18
Yodo,Engineering,Social Worker,394 Lakeland Pass,Portland,OR,97201,45.5078,-122.6897,Re-engineered tertiary framework,$136607.27
Twinte,Engineering,Health Coach I,1496 Jenna Plaza,Charlottesville,VA,22908,38.0401,-78.4851,Persistent static complexity,$115799.65
Yamia,Marketing,Biostatistician IV,4 Bay Drive,Sacramento,CA,95818,38.5568,-121.4929,Object-based 4th generation application,$126001.67
Zoomzone,Support,Business Systems Development Analyst,4 Paget Terrace,Los Angeles,CA,90081,33.7866,-118.2987,Adaptive needs-based matrix,$98177.81
Youspan,Marketing,Sales Associate,21 Hintze Park,Fort Worth,TX,76147,32.7714,-97.2915,Organic foreground access,$188033.12
Photospace,Research and Development,Dental Hygienist,811 Talmadge Parkway,Palo Alto,CA,94302,37.1894,-121.7053,Right-sized incremental local area network,$48130.55
Jabbercube,Legal,Human Resources Manager,15847 Merchant Lane,Hollywood,FL,33023,25.9894,-80.2153,Decentralized real-time implementation,$53061.42
Innotype,Support,Physical Therapy Assistant,5 Carberry Alley,Palmdale,CA,93591,34.6019,-117.8123,Secured 6th generation website,$192563.52
Zoombox,Sales,Research Assistant III,07950 Helena Point,Washington,DC,20370,38.8933,-77.0146,Persistent holistic circuit,$146895.31
